id,category,cross_company,question,expected,answer,http_status,elapsed_seconds,verdict,retrieved_chunks,cited_chunks,issue
Q01,单公司财务表格,False,沃尔核材2026年上半年营业收入及同比增长率是多少？,"营业收入4,653,091,807.21元，同比增长17.94%。","沃尔核材2026年上半年营业收入为 **4,653,091,807.21元**（约46.53亿元），同比增长 **17.94%**。[002130_2026_p0007_c001]

来源：002130_2026_p0007_c001。",200,11.56,答对,002130_2026_p0007_c001（沃尔核材 p7）; 002130_2026_p0022_c001（沃尔核材 p22）; 002130_2026_p0214_c001（沃尔核材 p214）; 002130_2026_p0019_c001（沃尔核材 p19）; 002130_2026_p0023_c002（沃尔核材 p23）; 002130_2026_p0175_c001（沃尔核材 p175）,002130_2026_p0007_c001,无；金额和同比均与沃尔核材半年报主要会计数据一致。
Q02,单公司财务表格,False,万马股份2026年上半年营业收入和归母净利润分别是多少，同比变化如何？,"营业收入10,509,689,033.65元，同比增长13.35%；归母净利润209,327,490.48元，同比下降16.41%。","万马股份2026年上半年营业收入为105.10亿元（105.10亿元，人民币），同比增长13.35%；归属于上市公司股东的净利润（归母净利润）为2.09亿元，同比下降16.41%。[002276_2026_p0012_c001]

来源：002276_2026_p0012_c001",200,2.36,答对,002276_2026_p0007_c001（万马股份 p7）; 002276_2026_p0115_c002（万马股份 p115）; 002276_2026_p0014_c003（万马股份 p14）; 002276_2026_p0014_c002（万马股份 p14）; 002276_2026_p0012_c001（万马股份 p12）; 002276_2026_p0151_c003（万马股份 p151）,002276_2026_p0012_c001,无实质错误；营业收入和归母净利润及同比正确，答案对营业收入金额有重复表述。
Q03,单公司财务表格,False,立讯精密2026年上半年营业收入增长率与归母净利润增长率分别是多少？,营业收入同比增长40.16%；归母净利润同比增长18.04%。,"立讯精密2026年上半年营业收入同比增长 **40.16%**，归属于上市公司股东的净利润（归母净利润）同比增长 **18.04%**。报告期为2026年上半年，金额单位为元；以上为报告披露的同比增幅。[002475_2026_p0008_c001]

来源：002475_2026_p0008_c001",200,2.58,答对,002475_2026_p0020_c001（立讯精密 p20）; 002475_2026_p0010_c001（立讯精密 p10）; 002475_2026_p0008_c001（立讯精密 p8）; 002475_2026_p0231_c001（立讯精密 p231）; 002475_2026_p0067_c001（立讯精密 p67）; 002475_2026_p0022_c001（立讯精密 p22）,002475_2026_p0008_c001,无；营业收入与归母净利润同比增幅正确。
Q04,业务分部指标,False,沃尔核材高速通信线2026年上半年收入及同比增长率是多少？,高速通信线营业收入6.31亿元，同比增长35.44%。,"沃尔核材2026年上半年高速通信线收入为6.31亿元，同比增长35.44%。[002130_2026_p0013_c001]

来源：002130_2026_p0013_c001",200,2.87,答对,002130_2026_p0013_c001（沃尔核材 p13）; 002130_2026_p0019_c001（沃尔核材 p19）; 002130_2026_p0022_c001（沃尔核材 p22）; 002130_2026_p0014_c001（沃尔核材 p14）; 002130_2026_p0012_c001（沃尔核材 p12）; 002130_2026_p0175_c001（沃尔核材 p175）,002130_2026_p0013_c001,无；收入6.31亿元及同比35.44%正确。
Q05,业务模式叙述,False,万马股份的电力产品直销与经销分别覆盖哪些客户群体？,电力产品主要通过招投标签约；直销覆盖电网、轨交、新能源、工业等重点客户及重大项目；经销拓展中小客户和民用市场。,"万马股份（2026年半年度报告期）电力产品的销售覆盖如下：

- **直销**：面向电网、轨交、新能源、工业等重点客户及重大项目。
- **经销**：拓展中小客户市场及民用市场。

电力产品主要通过招投标方式与客户签订购销合同。[002276_2026_p0011_c001]

**实际使用来源：**[002276_2026_p0011_c001]",200,2.81,答对,002276_2026_p0011_c001（万马股份 p11）; 002276_2026_p0115_c003（万马股份 p115）; 002276_2026_p0151_c003（万马股份 p151）; 002276_2026_p0009_c001（万马股份 p9）; 002276_2026_p0030_c002（万马股份 p30）; 002276_2026_p0012_c001（万马股份 p12）,002276_2026_p0011_c001,无；直销对象、经销对象及招投标签约方式均有来源支持。
Q06,表格加原因解释,False,沃尔核材2026年上半年通信线缆产品毛利率较上年同期变化多少，报告归因是什么？,通信线缆产品毛利率18.79%，同比下降2.94个百分点；报告称原材料价格持续上升推高成本。,"沃尔核材2026年上半年通信线缆产品毛利率为 **18.79%**，较上年同期下降 **2.94个百分点**。报告称，主要由于原材料价格持续上升，导致成本有所上升。[002130_2026_p0023_c002]

**来源：**[002130_2026_p0023_c002]",200,2.58,答对,002130_2026_p0023_c002（沃尔核材 p23）; 002130_2026_p0013_c001（沃尔核材 p13）; 002130_2026_p0019_c001（沃尔核材 p19）; 002130_2026_p0022_c003（沃尔核材 p22）; 002130_2026_p0023_c004（沃尔核材 p23）; 002130_2026_p0022_c001（沃尔核材 p22）,002130_2026_p0023_c002,无；毛利率、变动百分点及原材料成本原因正确。
Q07,研发进展叙述,False,沃尔核材单通道448G高速通信线目前进展到哪一步？,已完成样品开发，部分规格样品已送检测试性能。,"截至沃尔核材2026年半年度报告期末，单通道448G高速通信线已完成样品开发；部分规格样品送检后，测试性能达到客户要求。公司已进行小批量试产，产品正用于客户进一步加工验证；另有披露称已进入客户加工验证阶段，尚未披露完成验证或批量交付。[002130_2026_p0013_c001][002130_2026_p0014_c001][002130_2026_p0017_c001]

**来源：**002130_2026_p0013_c001、002130_2026_p0014_c001、002130_2026_p0017_c001",200,5.75,答对,002130_2026_p0013_c001（沃尔核材 p13）; 002130_2026_p0014_c001（沃尔核材 p14）; 002130_2026_p0012_c001（沃尔核材 p12）; 002130_2026_p0022_c001（沃尔核材 p22）; 002130_2026_p0017_c001（沃尔核材 p17）; 002130_2026_p0019_c001（沃尔核材 p19）,002130_2026_p0013_c001; 002130_2026_p0014_c001; 002130_2026_p0017_c001,无；样品开发、送检、小批量试产和客户加工验证阶段均有报告依据。
Q08,跨公司业绩对比,True,跨公司比较：沃尔核材、万马股份、立讯精密2026年上半年营业收入同比与归母净利润同比分别如何？,沃尔核材：收入+17.94%、归母净利润+1.54%；万马股份：收入+13.35%、归母净利润-16.41%；立讯精密：收入+40.16%、归母净利润+18.04%。,"| 公司 | 2026年上半年营业收入同比 | 2026年上半年归母净利润同比 |
|---|---:|---:|
| 沃尔核材 | 增长17.94% | 增长1.54% [002130_2026_p0007_c001] |
| 万马股份 | 增长13.35% | 下降16.41% [002276_2026_p0007_c001] |
| 立讯精密 | 增长40.16% | 增长18.04% [002475_2026_p0008_c001] |

以上同比均为报告所列“本报告期比上年同期增减”；营收和归母净利润金额的报告口径单位均为元。沃尔核材、万马股份和立讯精密的两项同比数据分别如表所示。 [002130_2026_p0007_c001] [002276_2026_p0007_c001] [002475_2026_p0008_c001]

来源：002130_2026_p0007_c001、002276_2026_p0007_c001、002475_2026_p0008_c001。",200,3.94,答对,002130_2026_p0007_c001（沃尔核材 p7）; 002130_2026_p0019_c001（沃尔核材 p19）; 002475_2026_p0008_c001（立讯精密 p8）; 002276_2026_p0007_c001（万马股份 p7）; 002475_2026_p0010_c001（立讯精密 p10）; 002276_2026_p0014_c002（万马股份 p14）,002130_2026_p0007_c001; 002276_2026_p0007_c001; 002475_2026_p0008_c001,无；三家公司营业收入及归母净利润同比方向和比例均正确。
Q09,跨公司现金流对比,True,跨公司比较：沃尔核材和兆龙互连2026年上半年经营活动现金流净额各是多少，同比如何？,"沃尔核材472,115,060.72元，同比增长36.35%；兆龙互连-43,759,482.71元，上年同期96,497,524.86元，同比下降145.35%。","| 公司（2026年上半年） | 经营活动现金流净额 | 同比 |
|---|---:|---:|
| 沃尔核材 | 472,115,060.72元（约4.72亿元） | 增长36.35% |
| 兆龙互连 | -43,759,482.71元（约-0.44亿元） | 下降145.35%，由上年同期96,497,524.86元转为负值 |

两家公司均按半年报“本报告期”与“上年同期”口径比较。沃尔核材上年同期为346,246,410.02元；兆龙互连上年同期为96,497,524.86元。[002130_2026_p0007_c001][300913_2026_p0007_c002]

来源：沃尔核材半年报主要会计数据 [002130_2026_p0007_c001]；兆龙互连半年报主要会计数据 [300913_2026_p0007_c002]。",200,6.16,答对,300913_2026_p0007_c001（兆龙互连 p7）; 002130_2026_p0007_c001（沃尔核材 p7）; 300913_2026_p0007_c002（兆龙互连 p7）; 002130_2026_p0182_c001（沃尔核材 p182）; 300913_2026_p0016_c001（兆龙互连 p16）; 002130_2026_p0022_c002（沃尔核材 p22）,002130_2026_p0007_c001; 300913_2026_p0007_c002,无；两家公司经营活动现金流净额及同比正确，兆龙互连金额转负。
Q10,跨公司研发投入对比,True,跨公司比较：沃尔核材与瑞可达2026年上半年研发投入金额和同比增幅分别是多少？,"沃尔核材研发投入266,693,185.25元，同比增长28.39%；瑞可达研发投入81,537,920.99元，同比增长16.81%。","- **沃尔核材（2026年上半年）**：当前证据列示研发投入为 **26,669.32万元**，同比增长 **28.39%**。[002130_2026_p0022_c002]
- **瑞可达（2026年上半年）**：研发投入合计 **8,153.79万元**，同比增长 **16.81%**。[688800_2026_p0025_c001]

两家公司均按半年度报告中的研发投入金额口径比较；沃尔核材金额由表列元数换算为万元，瑞可达金额由表列元数换算为万元。[002130_2026_p0022_c002][688800_2026_p0025_c001]

**实际使用来源：**[002130_2026_p0022_c002]、[688800_2026_p0025_c001]",200,5.14,答对,002130_2026_p0019_c001（沃尔核材 p19）; 688800_2026_p0025_c001（瑞可达 p25）; 002130_2026_p0022_c002（沃尔核材 p22）; 002130_2026_p0077_c001（沃尔核材 p77）; 688800_2026_p0024_c001（瑞可达 p24）; 688800_2026_p0037_c001（瑞可达 p37）,002130_2026_p0022_c002; 688800_2026_p0025_c001,无；研发投入金额换算为万元后与报告数一致，同比增幅正确。
